arrival_rate,max_batch_size,kv_budget,n_seeds,mean_ttft_mean,mean_ttft_std,p50_ttft_mean,p50_ttft_std,p95_ttft_mean,p95_ttft_std,p99_ttft_mean,p99_ttft_std,goodput_mean,goodput_std,blocking_probability_mean,blocking_probability_std
4.0,128,104336,1,0.03905434643999191,0.0,0.03403782249961296,0.0,0.08336033570039945,0.0,0.09768323400956433,0.0,3.6646892198964074,0.0,0.0,0.0
5.0,128,104336,1,0.04233088414666175,0.0,0.03559542799985138,0.0,0.08643182889977652,0.0,0.09977319008982699,0.0,4.482946144789909,0.0,0.0,0.0
6.0,128,104336,1,0.04449885215331051,0.0,0.03803430749985637,0.0,0.08432339249939107,0.0,0.11190310039991343,0.0,5.263955688686614,0.0,0.0,0.0
8.0,128,104336,1,0.04992568911665027,0.0,0.04207655199934379,0.0,0.0950439189505233,0.0,0.12144372421136719,0.0,6.729158636219232,0.0,0.0,0.0
0.5,128,274656,1,0.03348204830662022,0.0,0.02951158399991982,0.0,0.06919313815096764,0.0,0.1166799057505156,0.0,0.4944499398114907,0.0,0.0,0.0
1.0,128,274656,1,0.03302151435000875,0.0,0.030160752000483626,0.0,0.053232358599871084,0.0,0.09039426644088955,0.0,0.9779845672456031,0.0,0.0,0.0
2.0,128,274656,1,0.034261841900042785,0.0,0.03109664400017209,0.0,0.05880180354906771,0.0,0.0854256968297522,0.0,1.9127260431205009,0.0,0.0,0.0
3.0,128,274656,1,0.03273186503663965,0.0,0.03146499299964489,0.0,0.04277587939968726,0.0,0.05778018063945636,0.0,2.808567617095481,0.0,0.0,0.0
4.0,128,274656,1,0.034686587386659085,0.0,0.032736539999859815,0.0,0.049665999899298194,0.0,0.06360740682019232,0.0,3.663873178083491,0.0,0.0,0.0
5.0,128,274656,1,0.04347004828665377,0.0,0.03727050799989229,0.0,0.07793398140147474,0.0,0.10481797391044892,0.0,4.4836261888701445,0.0,0.0,0.0
6.0,128,274656,1,0.04080724112335399,0.0,0.03723543900014192,0.0,0.06561877425001512,0.0,0.08735611730035087,0.0,5.268576398829346,0.0,0.0,0.0
8.0,128,274656,1,0.038099399580011475,0.0,0.0372755229991526,0.0,0.05073203560050388,0.0,0.06615261940045453,0.0,6.736813782846966,0.0,0.0,0.0
0.5,128,439856,1,0.03848658489992886,0.0,0.030688803500197537,0.0,0.08782555405050517,0.0,0.12131048784958684,0.0,0.49448257915251415,0.0,0.0,0.0
1.0,128,439856,1,0.03529259820333512,0.0,0.031256745999598934,0.0,0.06315321719930583,0.0,0.08458021312941125,0.0,0.9778906323136252,0.0,0.0,0.0
2.0,128,439856,1,0.04533447914993909,0.0,0.03469975650023116,0.0,0.09701901495009227,0.0,0.15712453610969532,0.0,1.9131252496392246,0.0,0.0,0.0
3.0,128,439856,1,0.042338971196695635,0.0,0.03458737100027065,0.0,0.08146105449977768,0.0,0.09983488804029539,0.0,2.804604259871863,0.0,0.0,0.0
4.0,128,439856,1,0.04367536749995755,0.0,0.03543755000009696,0.0,0.08046581444941699,0.0,0.11905783750004041,0.0,3.6623181618270926,0.0,0.0,0.0
5.0,128,439856,1,0.04501041704334663,0.0,0.03739686800054187,0.0,0.08986575765065936,0.0,0.10686249690947075,0.0,4.4819614918709245,0.0,0.0,0.0
6.0,128,439856,1,0.04658425054337082,0.0,0.038541703000191774,0.0,0.09251848450048784,0.0,0.13188337345034593,0.0,5.26495189975597,0.0,0.0,0.0
8.0,128,439856,1,0.060125706129947505,0.0,0.04579159800050547,0.0,0.1380436828996608,0.0,0.18497325520902444,0.0,6.727786210342304,0.0,0.0,0.0
0.5,128,605072,1,0.047986135099957514,0.0,0.03555696349940263,0.0,0.1087375574504222,0.0,0.14550694538982492,0.0,0.49444735836258163,0.0,0.0,0.0
1.0,128,605072,1,0.03843533923662714,0.0,0.032371668999076064,0.0,0.0748765140997421,0.0,0.11206518603066783,0.0,0.9779137173970259,0.0,0.0,0.0
2.0,128,605072,1,0.0394511135767425,0.0,0.0324168284996631,0.0,0.07725034395107289,0.0,0.10744025376023272,0.0,1.9128247832702097,0.0,0.0,0.0
3.0,128,605072,1,0.04737087322324442,0.0,0.03602299399972253,0.0,0.10410089025108392,0.0,0.15536059566014954,0.0,2.805929228285996,0.0,0.0,0.0
4.0,128,605072,1,0.04897565400999762,0.0,0.040454635500282166,0.0,0.09584421389963609,0.0,0.14178309925828217,0.0,3.6633753973350136,0.0,0.0,0.0
5.0,128,605072,1,0.04329364067666271,0.0,0.035546676000194566,0.0,0.08519526114996556,0.0,0.11373874605993468,0.0,4.480562957830877,0.0,0.0,0.0
6.0,128,605072,1,0.049616509936592286,0.0,0.038776744999267976,0.0,0.10923832025109734,0.0,0.13960199194025316,0.0,5.266635875459065,0.0,0.0,0.0
8.0,128,605072,1,0.05253366764335321,0.0,0.040613731000121334,0.0,0.11579012744841748,0.0,0.15363942052075794,0.0,6.7238672520666904,0.0,0.0,0.0
